Title,Author,price,pages,Rating,star5,star4,star3,star2,star1,language,publisher,ISBN,contents
Python for Cybersecurity: Using Python for Cyber Offense and Defense,[ Howard E. Poston III],23.14,240,4.7,89%,11%,,,,English,"Wiley; 1st edition (March 4, 2022)",978-1119850649,"Chapter 1: Introduction to Python for Cybersecurity

What is Python and why is it good for cybersecurity?
Python fundamentals for cybersecurity professionals
Setting up a Python environment for cybersecurity
Chapter 2: Python for Cyber Offense

Reconnaissance
Resource development
Initial access
Execution
Persistence
Privilege escalation
Command and control
Exfiltration
Chapter 3: Python for Cyber Defense

Network security monitoring
Intrusion detection and prevention
Host security monitoring
Security information and event management (SIEM)
Penetration testing
Vulnerability assessment and remediation
Chapter 4: Python for Cybersecurity Automation

Writing Python scripts to automate cybersecurity tasks
Using Python to develop cybersecurity tools
Automating security testing and analysis
Chapter 5: Python for Cybersecurity Research

Using Python to analyze malware
Conducting vulnerability research
Developing new cybersecurity tools and techniques
Appendix A: Python Libraries for Cybersecurity

Appendix B: Python Resources for Cybersecurity Professionals"
Head First Python: A Brain-Friendly Guide,[ Paul Barry],59.99,600,,,,,,,English,"O'Reilly Media; 3rd edition (October 3, 2023)",978-1492051299,"Introduction

Who is this book for?
Who should probably back away from this book?
What's in this book?
How to use this book
1. Python: What You Already Know

Variables
Functions
Conditionals
Loops
2. Let's Build Something

What do we want our webapp to do?
What happens on the web server?
Let's install Flask
How does Flask work?
Running your Flask webapp for the first time
Here's what happened (line by line)
3. Sharing Your Code: Modules of Functions

What's a module?
Importing modules
Creating your own modules
Using modules to share code
4. Files and Exceptions: Dealing with Errors

What's a file?
Reading and writing files
Exceptions: Dealing with errors
5. Persistence: Saving Data to Files

What's persistence?
Using JSON to save data to files
Loading data from JSON files
6. Comprehending Data: Work That Data!

What's data?
Using lists to store data
Using dictionaries to store data
Working with data in Python
7. Custom Data Objects: Bundling Code with Data

What's a custom data object?
Creating your own custom data objects
Using custom data objects to organize your code
8. Web Development: Putting It All Together

Building a webapp with Flask
Handling user input
Displaying data on a web page
9. Mobile App Development: Small Devices

Building a mobile app with Kivy
Creating a user interface for your mobile app
Handling user input in your mobile app
10. Manage Your Data: Handling Input

Validating user input
Sanitizing user input
11. Scaling Your Webapp: Getting Real

Deploying your webapp to a production server
Handling more traffic to your webapp
12. Dealing with Complexity: Data Wrangling

Using regular expressions to process text data
Using NumPy to process numerical data
13. Leftovers: The Top Ten Things (We Didn't Cover)

What's next?
Appendix

Installing Python and other tools
Python cheat sheet"
"Quantitative Finance with Python: A Practical Guide to Investment Management, Trading, and Financial Engineering (Chapman and Hall/CRC Financial Mathematics Series)",,92.7,659,4.3,54%,23%,23%,,,English,"Chapman and Hall/CRC; 1st edition (May 20, 2022)",978-1032014432,"1. Theoretical Underpinnings of Quant Modeling: Modeling the Risk Neutral Measure

1.1 Introduction
1.2 The Risk Neutral Measure
1.3 The Fair Price of a Derivative Security
1.4 The Black-Scholes Model for European Options
1.5 The Binomial Model for European Options
1.6 Monte Carlo Simulation for European Options
2. Theoretical Underpinnings of Quant Modeling: Modeling the Physical Measure

2.1 Introduction
2.2 Brownian Motion
2.3 Stochastic Differential Equations
2.4 The GBM Model for Stock Prices
2.5 The CIR Model for Interest Rates
3. Python Programming Environment

3.1 Introduction to Python
3.2 Variables and Data Types
3.3 Conditional Statements and Loops
3.4 Functions
3.5 Classes and Objects
3.6 NumPy and SciPy for Scientific Computing
4. Programming Concepts in Python

4.1 Object-Oriented Programming
4.2 Functional Programming
4.3 Parallel Programming
4.4 Unit Testing
4.5 Documentation
5. Working with Financial Datasets

5.1 Introduction to Financial Data
5.2 Downloading and Cleaning Financial Data
5.3 Analyzing Financial Data
5.4 Visualizing Financial Data
6. Model Validation

6.1 Introduction to Model Validation
6.2 Backtesting
6.3 Walk-Forward Optimization
6.4 Out-of-Sample Testing
6.5 Stress Testing
7. Options Pricing Techniques for European Options

7.1 Introduction to European Options
7.2 The Black-Scholes Model for European Options
7.3 The Binomial Model for European Options
7.4 Monte Carlo Simulation for European Options
8. Options Pricing Techniques for Exotic Options

8.1 Introduction to Exotic Options
8.2 American Options
8.3 Barrier Options
8.4 Digital Options
8.5 Spread Options
9. Greeks and Options Trading

9.1 Introduction to the Greeks
9.2 Delta
9.3 Gamma
9.4 Vega
9.5 Theta
9.6 Rho
10. Extraction of Risk Neutral Densities

10.1 Introduction to Risk Neutral Densities
10.2 Implied Volatility
10.3 Local Volatility
10.4 Stochastic Volatility
11. Credit Markets

11.1 Introduction to Credit Markets
11.2 Default Risk
11.3 Credit Derivatives
11.4 Credit Risk Modeling
12. Foreign Exchange Markets

12.1 Introduction to Foreign Exchange Markets
12.2 Exchange Rate Regimes
12.3 Foreign Exchange Derivatives
12.4 Foreign Exchange Risk Modeling
13. Equity & Commodity Markets

13.1 Introduction to Equity Markets
13.2 Equity Derivatives
13.3 Equity Risk Modeling
13.4 Introduction to Commodity Markets
13.5 Commodity Derivatives
13.6 Commodity Risk Modeling
14. Modelling Expected Returns and Covariance Matrices

14.1 Introduction to Expected Returns and Covariance Matrices
14.2 Capital Asset Pricing Model (CAPM)
14.3 Arbitrage Pricing Theory (APT)
14.4 Multivariate GARCH Models
14.5 Copulas
15. Risk Management

15.1 Introduction to Risk Management
15.2 Value-at-Risk (VaR)
15.3 Stress Testing
15.4 Backtesting
15.5 Portfolio Optimization
16. Quantitative Trading Models

16.1 Introduction to Quantitative Trading Models
16.2 Statistical Arbitrage
16.3 Machine Learning Models
16.4 High-Frequency Trading"
Learn Coding Basics in Hours with Python,"[ The Tech Academy, Jack C. Stanley, et al.]",3.99,107,4.5,70%,18%,7%,4%,1%,English,"Jack Stanley (November 17, 2017)",978-0997326475,"Chapter 1: Introduction

What is Coding?
Why Python?
Setting Up Your Python Environment
Variables and Data Types
Operators and Expressions
Conditional Statements
Loops
Functions
Chapter 2: Object-Oriented Programming

Classes and Objects
Inheritance
Polymorphism
Chapter 3: Input and Output

Reading and Writing Files
Working with User Input
Working with Databases
Chapter 4: Data Structures

Lists
Tuples
Dictionaries
Sets
Chapter 5: Modules and Packages

Importing Modules
Creating Your Own Modules
Using Packages
Chapter 6: Error Handling

Common Python Errors
Debugging Your Code
Chapter 7: Testing

Unit Testing
Integration Testing
System Testing
Chapter 8: Deploying Your Code

Packaging Your Code
Deploying Your Code to a Production Environment
Chapter 9: Advanced Topics

Concurrency
Asynchronous Programming
Web Development
Appendix: Python Resources

Books
Websites
Tutorials
Communities"
"Django 4 By Example: Build powerful and reliable Python web applications from scratch, 4th Edition","[ Antonio Mele,  and , Bob Belderbos]",49.99,764,4.7,80%,12%,9%,,,English,"Packt Publishing; 4th ed. edition (August 29, 2022)",978-1801813051,"Introduction
Setting up your development environment
Creating your project and app
Models and the Object-Relational Mapper (ORM)
Views and templates
URLs and routing
Forms
Admin site
Deployment
Enhancing Your Blog with Advanced Features

Search engine optimization (SEO)
Sitemaps and RSS feeds
Full-text search
Social media integration
Comments and discussion
Caching
Performance optimization
Extending Your Blog Application

Custom user authentication
Multilingual support
E-commerce functionality
Analytics and reporting
Building a custom admin interface
Building a Social Website

Implementing social authentication
Sharing content on your website
Tracking user actions
Building a notification system
Building private messaging
Building groups and communities
Implementing Social Authentication

Overview of social authentication
Implementing Facebook authentication
Implementing Twitter authentication
Implementing Google authentication
Implementing custom social authentication providers
Sharing Content on Your Website

Sharing content on social media
Sharing content via email
Sharing content via embedded links
Sharing content via RSS feeds
Tracking User Actions

Overview of user tracking
Using Django Signals
Using Django Middleware
Using third-party analytics tools
Building a Chat Server

Overview of chat servers
Building a chat server with Django Channels
Adding real-time functionality to your website
Going Live

Choosing a hosting provider
Deploying your Django application
Configuring your web server
Managing your Django application in production
Advanced Topics

Building asynchronous (ASGI) applications with Django
Integrating Django with other technologies
Implementing advanced functionalities, such as payment processing and a recommendation engine
Building and configuring a production environment for your Django projects
Appendices

Django cheat sheet
List of useful Django resources"
Artificial Intelligence Programming with Python: From Zero to Hero,[ Perry Xiao],28.49,720,5,100%,,,,,English,"Wiley; 1st edition (March 11, 2022)",978-1119820864,"Part 1: Introduction

Chapter 1: Introduction to AI
Chapter 2: AI Development Tools
Chapter 3: Python for AI
Part 2: Machine Learning

Chapter 4: Supervised Learning
Chapter 5: Unsupervised Learning
Chapter 6: Semi-Supervised Learning
Part 3: Deep Learning

Chapter 7: Neural Networks
Chapter 8: Convolutional Neural Networks (CNNs)
Chapter 9: Recurrent Neural Networks (RNNs)
Chapter 10: Generative Adversarial Networks (GANs)
Part 4: AI Applications

Chapter 11: Natural Language Processing (NLP)
Chapter 12: Computer Vision
Chapter 13: Robotics
Chapter 14: AI in Healthcare
Chapter 15: AI in Finance
Appendix

Python Cheat Sheet
AI Resources"
"Serious Python: Black-Belt Advice on Deployment, Scalability, Testing, and More",[ Julien Danjou],29.24,240,4.7,79%,13%,5%,1%,1%,English,"No Starch Press; Illustrated edition (December 27, 2018)",978-1593278786,"Chapter 1: Python Internals

The Python Interpreter
The Python Runtime Environment
Memory Management
Garbage Collection
Objects and Classes
Modules and Packages
Metaprogramming
Chapter 2: Deployment

Choosing a Deployment Platform
Packaging Your Code
Configuring Your Deployment
Deploying to Production
Monitoring Your Application
Chapter 3: Scalability

Understanding Scalability
Designing Scalable Systems
Horizontal Scaling
Vertical Scaling
Caching
Load Balancing
Chapter 4: Testing

The Importance of Testing
Unit Testing
Integration Testing
System Testing
Acceptance Testing
Continuous Integration and Continuous Delivery (CI/CD)
Chapter 5: Performance

Understanding Performance
Measuring Performance
Optimizing Performance
Profiling Your Code
Chapter 6: Concurrency

Understanding Concurrency
Threads and Processes
Locks and Semaphores
Asynchronous Programming
Coroutines and asyncio
Chapter 7: Security

Understanding Security Threats
Securing Your Code
Securing Your Deployment Environment
Securing Your Database
Chapter 8: Maintenance

The Importance of Maintenance
Version Control
Documentation
Code Review
Refactoring
Chapter 9: Best Practices

Coding Conventions
Error Handling
Logging
Exception Handling
Testing Best Practices
Deployment Best Practices
Performance Best Practices
Concurrency Best Practices
Security Best Practices
Maintenance Best Practices
Appendix A: Python Resources

Appendix B: Python Tools"
Machine Learning for Financial Risk Management with Python: Algorithms for Modeling Risk,[ Abdullah Karasan],49.99,334,3.8,58%,26%,16%,,,English,"O'Reilly Media; 1st edition (December 28, 2021)",978-1492085256,"Chapter 1: Fundamentals of Risk Management

What is risk?
Different types of financial risk
Risk management frameworks
Chapter 2: Introduction to Time Series Modeling

Time series data
Time series components
Classical time series models
Chapter 3: Deep Learning for Time Series Modeling

Recurrent neural networks
Long short-term memory networks
Convolutional neural networks
Chapter 4: Machine Learning-Based Volatility Prediction

ARCH models
GARCH models
Machine learning models for volatility prediction
Chapter 5: Modeling Market Risk

Value at risk (VaR)
Expected shortfall (ES)
Machine learning models for market risk modeling
Chapter 6: Credit Risk Estimation

What is credit risk?
Measuring credit risk
Machine learning models for credit risk estimation
Chapter 7: Liquidity Modeling

What is liquidity risk?
Measuring liquidity risk
Machine learning models for liquidity modeling
Chapter 8: Modeling Operational Risk

What is operational risk?
Measuring operational risk
Machine learning models for operational risk modeling
Chapter 9: Machine Learning for Fraud Detection

What is fraud?
Types of financial fraud
Machine learning models for fraud detection
Chapter 10: Predicting Stock Price Crash and Identifying Its Determinants

What is a stock price crash?
Determinants of stock price crashes
Machine learning models for predicting stock price crashes
Chapter 11: Synthetic Data Generation and the Hidden Markov Model in Finance

What is synthetic data?
Generating synthetic data using the hidden Markov model
Applications of synthetic data in finance
Appendix A: Python Libraries for Machine Learning

Appendix B: Examples of Machine Learning Models for Financial Risk Management"
Python Scripting for ArcGIS Pro,[ Paul A. Zandbergen],50.99,412,4.5,71%,17%,8%,3%,1%,English,"Esri Press; 2nd edition (July 7, 2020)",978-1589484993,"Chapter 1 Introducing Python

What is Python?
Why use Python in ArcGIS Pro?
Installing and configuring Python
Running Python scripts
Python variables and data types
Python operators and expressions
Python conditional statements
Python loops
Python functions
Chapter 2 Working with Python Editors

Integrated Development Environments (IDEs)
ArcGIS Pro Python Console
External Python editors
Best practices for writing and editing Python scripts
Chapter 3 Geoprocessing in ArcGIS Pro

What is geoprocessing?
Using the ArcGIS Pro Geoprocessing Pane
Automating geoprocessing tasks using Python
Using ArcPy to execute geoprocessing tools
Chapter 4 Learning Python Language Fundamentals

Modules and packages
Classes and objects
Errors and debugging
File I/O
Regular expressions
Chapter 5 Geoprocessing Using Python

Working with feature classes
Working with tables
Working with rasters
Working with map documents
Chapter 6 Exploring Spatial Data

Querying spatial data
Performing spatial analysis
Creating new spatial data
Chapter 7 Debugging and Error Handling

Identifying and fixing errors
Handling errors gracefully
Chapter 8 Manipulating Spatial and Tabular Data

Adding, deleting, and updating features and records
Calculating new attributes
Creating new spatial data structures
Chapter 9 Working with Geometries

Geometric objects and properties
Performing geometric operations
Creating new geometric objects
Chapter 10 Working with Rasters

Raster properties and operations
Performing raster analysis
Creating new rasters
Chapter 11 Map Scripting

Controlling the map display
Adding and removing layers
Symbology and labeling
Creating map layouts"
Mission Python: Code a Space Adventure Game!,[ Sean McManus],29.95,280,4.5,70%,19%,6%,3%,3%,English,"No Starch Press (October 16, 2018)",978-1593278571,"Introduction
Chapter 1: Getting Started with Python
Chapter 2: Creating a Spacewalk Simulator
Chapter 3: Adding Graphics and Sound
Chapter 4: Building a Map and Exploring Locations
Chapter 5: Interacting with Objects and Characters
Chapter 6: Adding Puzzles and Challenges
Chapter 7: Finishing Your Game
Appendix: Python Basics
Chapter 1: Getting Started with Python

What is Python?
Installing Python
Writing Your First Python Program
Variables and Data Types
Operators and Expressions
Conditional Statements
Loops
Chapter 2: Creating a Spacewalk Simulator

Importing the Pygame Zero Library
Creating a Game Window
Drawing Graphics
Adding Sound
Handling Input
Chapter 3: Adding Graphics and Sound

Loading Images
Drawing Sprites
Playing Sounds
Creating Animations
Chapter 4: Building a Map and Exploring Locations

Creating a Map Object
Adding Locations to the Map
Drawing the Map
Moving the Player Around
Chapter 5: Interacting with Objects and Characters

Creating Objects and Characters
Detecting Collisions
Adding Interactions
Chapter 6: Adding Puzzles and Challenges

Creating Inventory Items
Creating Puzzles
Checking for Completion
Chapter 7: Finishing Your Game

Adding a Menu Screen
Saving and Loading the Game
Deploying Your Game
Appendix: Python Basics

Functions
Modules
Classes"
"Python 3 Standard Library by Example, The (Developer's Library)",,59.99,1456,4.5,74%,14%,6%,4%,3%,English,"Addison-Wesley Professional; 1st edition (June 1, 2017)",978-0134291055,"Chapter 1: Text
string: Text Constants and Templates
textwrap: Formatting Text Paragraphs
re: Regular Expressions
difflib: Compare Sequences
Chapter 2: Data Structures
enum: Enumerations
collections: Abstract Collection Classes
array: Efficient Arrays of Values
heapq: Heap Queue Algorithm
queue: Queue and Stack Implementations
struct: Pack and Unpack Binary Data
copy: Object Copying
Chapter 3: Algorithms
functools: Higher-Order Functions
itertools: Functions for Efficient Iteration
contextlib: Context Managers
Chapter 4: Dates and Times
datetime: Dates and Times
time: Time-Related Functions
Chapter 5: Mathematics
decimal: Fixed- and Floating-Point Math
fractions: Rational Numbers
random: Pseudorandom Number Generators
math: Mathematical Functions
statistics: Statistical Calculations
Chapter 6: The File System
os: Operating System Functions
pathlib: Object-Oriented Pathlib
shutil: File and Directory Operations
tempfile: Temporary Files and Directories
Chapter 7: Data Persistence and Exchange
json: JSON Encoder and Decoder
dbm: Berkeley DBM Database
sqlite3: SQLite Database
Chapter 8: Data Compression and Archiving
gzip: GZIP File Support
bz2: BZ2 File Support
tarfile: TAR File Support
Chapter 9: Cryptography
hashlib: Hashing Algorithms
hmac: Hash Based Message Authentication Code
ssl: Secure Sockets Layer
Chapter 10: Concurrency with Processes, Threads, and Coroutines
multiprocessing: Processes and Threads
asyncio: Asynchronous Programming
Chapter 11: Networking and the Internet
socket: Low-Level Networking
http.client: HTTP Client
urllib.request: URL Handling
ftplib: FTP Client
Chapter 12: Email
smtplib: SMTP Client
imaplib: IMAP Client
poplib: POP Client
Chapter 13: Developer Tools
inspect: Inspect Python Objects
unittest: Unit Testing Framework
doctest: Documentation Testing Framework
pdb: Python Debugger
Chapter 14: Runtime Features
sys: System Parameters and Functions
traceback: Printing Stack Traces
warnings: Warning Handling
Chapter 15: Internationalization and Localization
locale: Locale Support
gettext: Message Localization
Chapter 16: Language Tools
ast: Parse Python Code into AST
dis: Disassemble Python Bytecode
token: Tokenize Python Code
Chapter 17: Appendix A: Porting Notes
Changes in Python 3
Compatibility with Python 2"
"Python Scripting for ArcGIS (Python Scripting, 1)",[ Paul A. Zandbergen],59.77,358,4.5,70%,16%,9%,2%,4%,English,"Esri Press; First Edition (February 2, 2015)",978-1589483712,"Chapter 1 Introducing Python
What is Python?
Why use Python for GIS scripting?
Installing Python
Using a Python interpreter
Writing and running Python scripts
Chapter 2 Working with Python editors
Choosing a Python editor
Using the ArcGIS Python window
Using IDLE
Using other Python editors
Chapter 3 Geoprocessing in ArcGIS Pro
What is geoprocessing?
The Geoprocessing pane
Running geoprocessing tools
Creating and editing models
Chapter 4 Learning Python language fundamentals
Data types
Variables
Operators
Control flow statements
Functions
Chapter 5 Geoprocessing using Python
Automating geoprocessing tasks with Python
Using the arcpy module
Writing Python scripts for geoprocessing
Chapter 6 Exploring spatial data
What is spatial data?
Reading and writing spatial data
Querying spatial data
Performing spatial analysis
Chapter 7 Debugging and error handling
What is debugging?
Common Python errors
Debugging Python scripts
Error handling in Python
Chapter 8 Manipulating spatial and tabular data
Working with feature classes
Working with tables
Creating and editing spatial data
Chapter 9 Working with geometries
What is a geometry?
Creating and modifying geometries
Performing geometric operations
Chapter 10 Working with rasters
What is a raster?
Reading and writing rasters
Performing raster analysis
Chapter 11 Map scripting
What is map scripting?
Automating map creation and modification with Python
Writing Python scripts for map scripting
Index"
"Advanced Python Programming: Accelerate your Python programs using proven techniques and design patterns, 2nd Edition",[ Quan Nguyen],49.99,606,4.3,67%,10%,11%,11%,,English,"Packt Publishing; 2nd ed. edition (March 25, 2022)",978-1801814010,"Section 1: Python-Native and Specialized Optimization

Benchmarking and Profiling
Pure Python Optimizations
Fast Array Operations with NumPy, Pandas, and Xarray
C Performance with Cython
Exploring Compilers
Automatic Differentiation and Accelerated Linear Algebra for Machine Learning
Section 2: Concurrency and Parallelism

Implementing Concurrency
Parallel Processing
Concurrent Web Requests
Concurrent Image Processing
Building Communication Channels with asyncio
Deadlocks
Starvation
Race Conditions
The Global Interpreter Lock
Section 3: Design Patterns

Creational Patterns
Structural Patterns
Behavioral Patterns
Appendix

Installing and Configuring Python Packages
Testing Python Code
Debugging Python Code"
100 Days of Code Learning Journal: Notebook for Python programming beginners/learners. Gift for programmer. Progress tracker. Game /Coding Projects.,[ Corinth Ruiz],7,108,5,100%,,,,,English,"Independently published (November 28, 2021)",979-8775112295,"Introduction
Getting started with Python
Python variables and data types
Python operators and expressions
Python conditional statements
Python loops
Python functions
Python modules and packages
Python object-oriented programming
Python file I/O
Python error handling
Python regular expressions
Python testing
Python web development
Python machine learning
Python game development
Conclusion
Progress tracker
Game / coding projects"
"Learn Python Programming: An in-depth introduction to the fundamentals of Python, 3rd Edition","[ Fabrizio Romano,  and , Heinrich Kruger]",37.11,552,4.3,55%,29%,9%,4%,4%,English,"Packt Publishing; 3rd ed. edition (October 29, 2021)",978-1801815093,"Chapter 1: A Gentle Introduction to Python

What is Python?
Why learn Python?
Installing Python
Running your first Python program
Variables and data types
Chapter 2: Built-In Data Types

Numbers
Strings
Lists
Tuples
Dictionaries
Sets
Chapter 3: Conditionals and Iteration

If statements
Elif statements
Else statements
For loops
While loops
Chapter 4: Functions, the Building Blocks of Code

Defining functions
Calling functions
Passing arguments to functions
Returning values from functions
Scope of variables
Chapter 5: Comprehensions and Generators

List comprehensions
Set comprehensions
Dictionary comprehensions
Generators
Chapter 6: OOP, Decorators, and Iterators

Object-oriented programming
Classes and objects
Inheritance
Decorators
Iterators
Chapter 7: Exceptions and Context Managers

Exceptions
Context managers
Chapter 8: Files and Data Persistence

Reading and writing files
JSON
Pickle
Chapter 9: Cryptography and Tokens

Cryptography basics
JWT tokens
Chapter 10: Testing

Unit testing
Integration testing
System testing
Chapter 11: Debugging and Profiling

Debugging
Profiling
Chapter 12: GUIs and Scripting

GUIs with Tkinter
Scripting with Python
Chapter 13: Data Science in Brief

NumPy
Pandas
Matplotlib
Chapter 14: Introduction to API Development

What are APIs?
Building a simple API with FastAPI
Chapter 15: Packaging Python Applications

Creating a Python package
Installing a Python package"
Beginner's Guide to Streamlit with Python: Build Web-Based Data and Machine Learning Applications,[ Sujay Raghavendra],39.45,224,,,,,,,English,"Apress; 1st ed. edition (January 3, 2023)",978-1484289822,"Chapter 1: Introduction to Streamlit

What is Streamlit?
Why use Streamlit?
Installing Streamlit
Creating your first Streamlit app
Chapter 2: Building interactive dashboards

Visualizing data with Streamlit
Adding interactivity to your dashboards
Laying out your dashboard elements
Chapter 3: Deploying machine learning models

Deploying a pre-trained model with Streamlit
Training a model within your Streamlit app
Serving predictions to your users
Chapter 4: Advanced Streamlit features

Customizing the appearance of your apps
Adding interactivity with JavaScript
Using Streamlit components
Chapter 5: Case studies

Building a real-time dashboard for COVID-19 data
Deploying a machine learning model for image classification
Creating a data science project collaboration platform
Appendix

Streamlit cheat sheet
List of Streamlit components
Troubleshooting common Streamlit errors"
Python for Finance: Mastering Data-Driven Finance,[ Yves Hilpisch],65.05,720,4.6,77%,14%,5%,2%,2%,English,"O'Reilly Media; 2nd edition (January 8, 2019)",978-1492024330,"Part I: Python and Finance

Introduction to Python
NumPy: Arrays and Numerical Computing
Pandas: Data Analysis and Visualization
Matplotlib: Data Visualization
Other Useful Python Packages for Finance
Part II: Mastering the Basics

Financial Data
Financial Time Series
Technical Analysis
Quantitative Trading
Risk Management
Part III: Financial Data Science

Statistical Inference
Machine Learning
Deep Learning
Part IV: Algorithmic Trading

Algorithmic Trading Strategies
Backtesting and Trading Automation
Part V: Derivatives Analytics

Black-Scholes Model
Monte Carlo Simulation
Greeks and Options Pricing
Appendix A: Dates and Times

Appendix B: BSM Option Clas"
"Python Flash Cards: Syntax, Concepts, and Examples",[ Eric Matthes],27.95,101,4.7,78%,14%,5%,1%,1%,English,"No Starch Press; Flc Crds edition (January 15, 2019)",978-1593278960,"Concepts and Vocabulary

What is Python?
What are the different types of data in Python?
What are variables, functions, and classes?
What are loops and conditional statements?
What are modules and packages?
Simple Data Types

Numbers
Strings
Booleans
Lists and Tuples

Creating and accessing lists and tuples
Adding, removing, and sorting elements in lists
Iterating over lists and tuples
Dictionaries

Creating and accessing dictionaries
Adding, removing, and modifying key-value pairs in dictionaries
Iterating over dictionaries
Conditional Statements

if statements
elif statements
else statements
Loops

for loops
while loops
Functions

Defining and calling functions
Passing arguments to functions
Returning values from functions
Classes

Defining and creating classes
Inheritance and polymorphism
Class methods and instance methods
Testing

Unit testing
Integration testing
System testing
Packages

Installing and using packages
Creating and distributing your own packages
Exercises and Challenges

Test your knowledge of Python with a variety of exercises and challenges"
A Student's Guide to Python for Physical Modeling: Updated Edition,"[ Jesse M. Kinder,  and , Philip Nelson]",4.95,168,4.5,72%,16%,6%,3%,2%,English,"Princeton University Press; Revised edition (January 30, 2018)",978-0691180571,"Part 1: Python Basics

Chapter 1: Introduction
Chapter 2: Python Fundamentals
Chapter 3: Numerical Arrays
Chapter 4: Two- and Three-Dimensional Graphics
Part 2: Physical Modeling with Python

Chapter 5: Animation
Chapter 6: Monte Carlo Simulations
Chapter 7: Numerical Methods
Chapter 8: Image Processing
Part 3: Advanced Topics

Chapter 9: More Advanced Numerical Methods
Chapter 10: Object-Oriented Programming in Python
Chapter 11: Python for High-Performance Computing
Appendix A: Python Installation and Setup

Appendix B: Python Libraries for Physical Modeling

Appendix C: Answers to Selected Exercises

Index"
Deep Learning from Scratch: Building with Python from First Principles,[ Seth Weidman],38.99,252,4.3,63%,20%,8%,4%,5%,English,"O'Reilly Media; 1st edition (October 1, 2019)",978-9352139026,"Foundations

Chapter 1: Functions
Chapter 2: Math
Chapter 3: Diagrams
Fundamentals

Chapter 4: Supervised Learning Overview
Chapter 5: Supervised Learning Models
Chapter 6: Linear Regression
Chapter 7: Logistic Regression
Chapter 8: Decision Trees
Deep Learning from Scratch

Chapter 9: Deep Learning Definition: A First Pass
Chapter 10: The Building Blocks of Neural Networks: Operations
Chapter 11: Extensions
Chapter 12: Some Intuition About Neural Networks
Chapter 13: The Softmax Cross Entropy Loss Function
Extensions

Chapter 14: Convolutional Neural Networks
Chapter 15: Recurrent Neural Networks
Chapter 16: PyTorch
Postscript: Unsupervised Learning via Autoencoders

Chapter 17: Representation Learning
Chapter 18: An Approach for Situations with No Labels Whatsoever
Chapter 19: Implementing an Autoencoder in PyTorch
Chapter 20: A Stronger Test for Unsupervised Learning, and a Solution"
Modern Computer Vision with PyTorch: Explore deep learning concepts and implement over 50 real-world image applications,"[ V Kishore Ayyadevara,  and , Yeshwanth Reddy]",48.84,824,4.6,81%,11%,3%,6%,,English,"Packt Publishing (November 27, 2020)",978-1839213472,"Chapter 1: Introduction to Computer Vision and PyTorch

What is computer vision?
Different types of computer vision tasks
Introduction to PyTorch
Setting up PyTorch for computer vision
Chapter 2: Deep Learning Fundamentals

What is deep learning?
Neural networks
Training and evaluating neural networks
Hyperparameters and optimization
Chapter 3: Image Classification

Convolutional neural networks (CNNs)
Pre-trained CNNs
Training and evaluating CNNs for image classification
Real-world image classification applications
Chapter 4: Object Detection

Region proposal networks (RPNs)
Fast R-CNN
Faster R-CNN
Real-world object detection applications
Chapter 5: Image Segmentation

Semantic segmentation
Instance segmentation
Real-world image segmentation applications
Chapter 6: Other Computer Vision Tasks

Image generation
Image style transfer
Image captioning
Object tracking
Video analysis
Chapter 7: Deploying Computer Vision Models

Serving computer vision models
Quantization
Edge computing
Chapter 8: Case Studies

Self-driving cars
Medical imaging
Robotics
Security and surveillance
Chapter 9: Advanced Topics

Generative adversarial networks (GANs)
Reinforcement learning (RL)
Transformers
Appendix A: PyTorch for Computer Vision

PyTorch tensors and operations
PyTorch neural networks
PyTorch data loaders
PyTorch training and optimization
Appendix B: Computer Vision Datasets

ImageNet
COCO
Pascal VOC
Cityscapes
VQA
Appendix C: PyTorch Libraries for Computer Vision

TorchVision
Detectron2
Mask R-CNN
Albumentations
Appendix D: Resources

Books
Papers
Tutorials
Code repositories"
Modern Time Series Forecasting with Python: Explore industry-ready time series forecasting using modern machine learning and deep learning,[ Manu Joseph],44.99,552,5,100%,,,,,English,"Packt Publishing (November 24, 2022)",978-1803246802,"Chapter 1: Introduction to Time Series Forecasting

What is time series forecasting?
Applications of time series forecasting
Types of time series forecasting models
Classical statistical methods for time series forecasting
Chapter 2: Data Handling for Time Series Forecasting

Importing and cleaning time series data
Exploratory data analysis (EDA) for time series data
Feature engineering for time series forecasting
Chapter 3: Machine Learning Models for Time Series Forecasting

Linear regression
Ridge regression
Lasso regression
Gradient-boosted trees (GBMs)
Random forests
Chapter 4: Deep Learning Models for Time Series Forecasting

Feed-forward neural networks (FNNs)
Long short-term memory (LSTM) networks
Transformer networks
N-BEATS
Autoformer
Chapter 5: Model Evaluation and Selection

Cross-validation for model selection
Forecast metrics
Model ensembling
Chapter 6: Global Forecasting

What is global forecasting?
Global forecasting models
Applying global forecasting models to real-world problems
Chapter 7: Advanced Topics in Time Series Forecasting

Multi-step forecasting
Interpretability of machine learning models
Causal discovery for time series data
Anomaly detection in time series data
Chapter 8: Case Studies

Forecasting retail sales
Forecasting electricity demand
Forecasting stock prices
Chapter 9: Conclusion

The book also includes three appendices:

Appendix A: Python libraries for time series forecasting
Appendix B: Mathematical background for time series forecasting
Appendix C: Solutions to selected exercises"
